,date_orig_id,index,date_str,AWND,PRCP,SNOW,SNWD,TAVG
224,2018-01-05-SAN,SAN,2018-01-05,22.0,0.0,0.0,0.0,174.0
225,2018-01-05-OAK,OAK,2018-01-05,25.0,84.0,0.0,0.0,133.5
226,2018-01-05-SFO,SFO,2018-01-05,25.0,48.0,0.0,0.0,150.0
227,2018-01-05-SJC,SJC,2018-01-05,30.0,8.0,0.0,0.0,155.5
228,2018-01-05-SLC,SLC,2018-01-05,12.0,0.0,0.0,0.0,-4.0
229,2018-01-05-PDX,PDX,2018-01-05,62.0,56.0,0.0,0.0,49.0
230,2018-01-05-SEA,SEA,2018-01-05,29.0,130.0,0.0,0.0,79.0
231,2018-01-05-IND,IND,2018-01-05,34.0,0.0,0.0,0.0,-168.5
232,2018-01-05-RSW,RSW,2018-01-05,17.0,0.0,0.0,0.0,28.0
233,2018-01-05-DEN,DEN,2018-01-05,24.0,0.0,0.0,0.0,50.5
234,2018-01-05-SNA,SNA,2018-01-05,10.0,0.0,0.0,0.0,172.5
235,2018-01-05-SMF,SMF,2018-01-05,31.0,25.0,0.0,0.0,125.0
236,2018-01-05-BWI,BWI,2018-01-05,78.0,0.0,0.0,30.0,-99.0
237,2018-01-05-IAD,IAD,2018-01-05,84.0,0.0,0.0,0.0,-98.0
238,2018-01-05-CVG,CVG,2018-01-05,32.0,0.0,0.0,0.0,-137.0
239,2018-01-05-CMH,CMH,2018-01-05,26.0,0.0,0.0,0.0,8.5
240,2018-01-05-PHL,PHL,2018-01-05,92.0,0.0,0.0,0.0,-93.5
241,2018-01-05-JFK,JFK,2018-01-05,112.0,0.0,0.0,200.0,-92.0
242,2018-01-05-PIT,PIT,2018-01-05,69.0,0.0,0.0,50.0,-154.0
243,2018-01-05-ORD,ORD,2018-01-05,48.0,0.0,0.0,30.0,-152.0
244,2018-01-05-DTW,DTW,2018-01-05,48.0,0.0,0.0,150.0,-169.0
245,2018-01-06-DFW,DFW,2018-01-06,44.0,0.0,0.0,0.0,96.0
246,2018-01-06-CLE,CLE,2018-01-06,75.0,0.0,0.0,0.0,-135.5
247,2018-01-06-MCO,MCO,2018-01-06,39.0,0.0,0.0,0.0,77.0
248,2018-01-06-MIA,MIA,2018-01-06,37.0,0.0,0.0,0.0,144.0
249,2018-01-06-TPA,TPA,2018-01-06,26.0,0.0,0.0,0.0,95.0
250,2018-01-06-FLL,FLL,2018-01-06,49.0,0.0,0.0,0.0,135.0
251,2018-01-06-MSY,MSY,2018-01-06,26.0,0.0,0.0,0.0,54.0
252,2018-01-06-HOU,HOU,2018-01-06,33.0,0.0,0.0,0.0,87.0
253,2018-01-06-SAT,SAT,2018-01-06,22.0,0.0,0.0,0.0,97.0
254,2018-01-06-IAH,IAH,2018-01-06,31.0,0.0,0.0,0.0,81.0
255,2018-01-06-RDU,RDU,2018-01-06,18.0,0.0,0.0,0.0,-70.0
256,2018-01-06-DCA,DCA,2018-01-06,60.0,0.0,0.0,0.0,-92.0
257,2018-01-06-ATL,ATL,2018-01-06,41.0,0.0,0.0,0.0,-16.0
258,2018-01-06-CLT,CLT,2018-01-06,21.0,0.0,0.0,0.0,-47.0
259,2018-01-06-BNA,BNA,2018-01-06,24.0,0.0,0.0,0.0,-57.0
260,2018-01-06-AUS,AUS,2018-01-06,20.0,0.0,0.0,0.0,75.0
261,2018-01-06-DAL,DAL,2018-01-06,51.0,0.0,0.0,0.0,97.0
262,2018-01-06-MCI,MCI,2018-01-06,36.0,0.0,0.0,0.0,-46.5
263,2018-01-06-STL,STL,2018-01-06,35.0,0.0,0.0,0.0,-114.0
264,2018-01-06-LGA,LGA,2018-01-06,97.0,0.0,0.0,180.0,-112.0
265,2018-01-06-EWR,EWR,2018-01-06,75.0,0.0,0.0,180.0,-117.0
266,2018-01-06-BOS,BOS,2018-01-06,98.0,0.0,0.0,0.0,-131.0
267,2018-01-06-MKE,MKE,2018-01-06,30.0,0.0,0.0,0.0,-147.0
268,2018-01-06-MSP,MSP,2018-01-06,42.0,0.0,0.0,50.0,-190.0
269,2018-01-06-HNL,HNL,2018-01-06,60.0,0.0,0.0,0.0,247.0
270,2018-01-06-LAS,LAS,2018-01-06,35.0,0.0,0.0,0.0,75.5
271,2018-01-06-LAX,LAX,2018-01-06,26.0,0.0,0.0,0.0,153.0
272,2018-01-06-PHX,PHX,2018-01-06,20.0,0.0,0.0,0.0,168.0
273,2018-01-06-SAN,SAN,2018-01-06,19.0,0.0,0.0,0.0,166.0
274,2018-01-06-OAK,OAK,2018-01-06,11.0,0.0,0.0,0.0,94.5
275,2018-01-06-SFO,SFO,2018-01-06,32.0,0.0,0.0,0.0,125.0
276,2018-01-06-SJC,SJC,2018-01-06,19.0,15.0,0.0,0.0,122.0
277,2018-01-06-SLC,SLC,2018-01-06,18.0,56.0,8.0,0.0,2.0
278,2018-01-06-PDX,PDX,2018-01-06,13.0,15.0,0.0,0.0,78.0
279,2018-01-06-SEA,SEA,2018-01-06,47.0,43.0,0.0,0.0,82.0
280,2018-01-06-IND,IND,2018-01-06,13.0,0.0,0.0,0.0,-146.0
281,2018-01-06-RSW,RSW,2018-01-06,25.0,0.0,0.0,0.0,48.0
282,2018-01-06-DEN,DEN,2018-01-06,17.0,0.0,0.0,0.0,61.5
283,2018-01-06-SNA,SNA,2018-01-06,13.0,0.0,0.0,0.0,163.5
284,2018-01-06-SMF,SMF,2018-01-06,21.0,0.0,0.0,0.0,91.5
285,2018-01-06-BWI,BWI,2018-01-06,69.0,0.0,0.0,0.0,-112.0
286,2018-01-06-IAD,IAD,2018-01-06,73.0,0.0,0.0,0.0,-107.0
287,2018-01-06-CVG,CVG,2018-01-06,17.0,0.0,0.0,0.0,-139.0
288,2018-01-06-CMH,CMH,2018-01-06,13.0,0.0,0.0,0.0,22.5
289,2018-01-06-PHL,PHL,2018-01-06,66.0,0.0,0.0,0.0,-107.0
290,2018-01-06-JFK,JFK,2018-01-06,99.0,0.0,0.0,200.0,-116.0
291,2018-01-06-PIT,PIT,2018-01-06,42.0,0.0,3.0,50.0,-155.0
292,2018-01-06-ORD,ORD,2018-01-06,29.0,0.0,0.0,30.0,-148.0
293,2018-01-06-DTW,DTW,2018-01-06,25.0,0.0,0.0,150.0,-161.0
294,2018-01-07-DFW,DFW,2018-01-07,66.0,46.0,0.0,0.0,138.0
295,2018-01-07-CLE,CLE,2018-01-07,70.0,0.0,0.0,0.0,-80.0
296,2018-01-07-MCO,MCO,2018-01-07,55.0,0.0,0.0,0.0,101.0
297,2018-01-07-MIA,MIA,2018-01-07,47.0,0.0,0.0,0.0,162.0
298,2018-01-07-TPA,TPA,2018-01-07,35.0,0.0,0.0,0.0,114.0
299,2018-01-07-FLL,FLL,2018-01-07,55.0,0.0,0.0,0.0,154.0
300,2018-01-07-MSY,MSY,2018-01-07,67.0,61.0,0.0,0.0,124.0
301,2018-01-07-HOU,HOU,2018-01-07,31.0,135.0,0.0,0.0,134.0
302,2018-01-07-SAT,SAT,2018-01-07,36.0,0.0,0.0,0.0,147.0
303,2018-01-07-IAH,IAH,2018-01-07,37.0,61.0,0.0,0.0,128.0
304,2018-01-07-RDU,RDU,2018-01-07,12.0,0.0,0.0,0.0,-87.0
305,2018-01-07-DCA,DCA,2018-01-07,40.0,0.0,0.0,0.0,-93.0
306,2018-01-07-ATL,ATL,2018-01-07,42.0,0.0,0.0,0.0,-14.0
307,2018-01-07-CLT,CLT,2018-01-07,21.0,0.0,0.0,0.0,-57.0
308,2018-01-07-BNA,BNA,2018-01-07,45.0,0.0,0.0,0.0,-25.0
309,2018-01-07-AUS,AUS,2018-01-07,46.0,0.0,0.0,0.0,149.0
310,2018-01-07-DAL,DAL,2018-01-07,52.0,58.0,0.0,0.0,131.0
