,date_orig_id,AWND,PRCP,SNOW,SNWD,TAVG
264,2020-01-06-LGA,57.0,5.0,18.0,30.0,29.0
265,2020-01-06-EWR,46.0,8.0,23.0,30.0,27.0
266,2020-01-06-BOS,30.0,0.0,0.0,0.0,4.0
267,2020-01-06-MKE,47.0,0.0,0.0,0.0,22.0
268,2020-01-06-MSP,38.0,0.0,0.0,80.0,-24.0
269,2020-01-06-HNL,60.0,0.0,0.0,0.0,249.0
270,2020-01-06-LAS,47.0,0.0,0.0,0.0,0.5
271,2020-01-06-LAX,25.0,0.0,0.0,0.0,163.0
272,2020-01-06-PHX,16.0,0.0,0.0,0.0,127.0
273,2020-01-06-SAN,9.0,0.0,0.0,0.0,149.0
274,2020-01-06-OAK,10.0,0.0,0.0,0.0,91.5
275,2020-01-06-SFO,16.0,0.0,0.0,0.0,103.0
276,2020-01-06-SJC,21.0,0.0,0.0,0.0,103.0
277,2020-01-06-SLC,26.0,0.0,0.0,0.0,17.0
278,2020-01-06-PDX,81.0,56.0,0.0,0.0,80.0
279,2020-01-06-SEA,73.0,302.0,0.0,0.0,71.0
280,2020-01-06-IND,21.0,0.0,0.0,0.0,25.5
281,2020-01-06-RSW,13.0,0.0,0.0,0.0,111.0
282,2020-01-06-DEN,55.0,0.0,0.0,0.0,-2.0
283,2020-01-06-SNA,17.0,0.0,0.0,0.0,197.5
284,2020-01-06-SMF,17.0,0.0,0.0,0.0,83.0
285,2020-01-06-BWI,27.0,0.0,0.0,0.0,49.0
286,2020-01-06-IAD,33.0,0.0,0.0,0.0,34.0
287,2020-01-06-CVG,25.0,0.0,0.0,0.0,37.0
288,2020-01-06-CMH,7.0,0.0,0.0,0.0,103.0
289,2020-01-06-PHL,33.0,0.0,0.0,0.0,64.0
290,2020-01-06-JFK,62.0,8.0,8.0,0.0,31.0
291,2020-01-06-PIT,47.0,0.0,0.0,0.0,29.0
292,2020-01-06-ORD,43.0,0.0,0.0,0.0,10.0
293,2020-01-06-DTW,68.0,0.0,0.0,0.0,33.0
294,2020-01-07-DFW,27.0,0.0,0.0,0.0,99.0
295,2020-01-07-CLE,46.0,0.0,0.0,0.0,36.0
296,2020-01-07-MCO,24.0,0.0,0.0,0.0,145.0
297,2020-01-07-MIA,15.0,0.0,0.0,0.0,209.0
298,2020-01-07-TPA,20.0,0.0,0.0,0.0,153.0
299,2020-01-07-FLL,26.0,0.0,0.0,0.0,194.0
300,2020-01-07-MSY,39.0,0.0,0.0,0.0,161.0
301,2020-01-07-HOU,34.0,0.0,0.0,0.0,156.0
302,2020-01-07-SAT,36.0,0.0,0.0,0.0,149.0
303,2020-01-07-IAH,26.0,0.0,0.0,0.0,156.0
304,2020-01-07-RDU,23.0,18.0,0.0,0.0,53.0
305,2020-01-07-DCA,23.0,81.0,0.0,0.0,41.0
306,2020-01-07-ATL,57.0,5.0,0.0,0.0,118.0
307,2020-01-07-CLT,26.0,23.0,0.0,0.0,83.0
308,2020-01-07-BNA,31.0,0.0,0.0,0.0,79.0
309,2020-01-07-AUS,16.0,0.0,0.0,0.0,125.0
310,2020-01-07-DAL,20.0,0.0,0.0,0.0,105.0
311,2020-01-07-MCI,29.0,0.0,0.0,0.0,53.5
312,2020-01-07-STL,47.0,0.0,0.0,0.0,43.0
313,2020-01-07-LGA,39.0,0.0,0.0,0.0,51.0
314,2020-01-07-EWR,32.0,0.0,0.0,0.0,41.0
315,2020-01-07-BOS,41.0,0.0,0.0,0.0,32.0
316,2020-01-07-MKE,55.0,0.0,0.0,0.0,19.0
317,2020-01-07-MSP,54.0,0.0,0.0,80.0,-23.0
318,2020-01-07-HNL,92.0,0.0,0.0,0.0,253.0
319,2020-01-07-LAS,28.0,0.0,0.0,0.0,25.5
320,2020-01-07-LAX,35.0,0.0,0.0,0.0,189.0
