,month,unique_carrier,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
160,1,WP,1,150568,0,0,0,0,150568,150568.0,0,150568.0,328845,0,0,0,0,328845,328845,0,328845,2015
161,1,X9,2,0,0,0,0,0,0,387380.0,2409067,2796447.0,0,0,0,0,0,0,819859,8121133,8940992,2015
162,1,XP,1,0,0,0,0,0,0,83607.0,188572,272179.0,0,0,0,0,0,0,288444,650573,939017,2015
163,1,YV,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2015
164,1,YX,2,13863113,0,0,0,0,13863113,13863113.0,0,13863113.0,24606382,0,0,0,0,24606382,24606382,0,24606382,2015
165,1,ZW,2,6472639,0,0,0,0,6472639,6472639.0,0,6472639.0,13048498,0,0,0,0,13048498,13048498,0,13048498,2015
166,1,WN,3,142391393,0,0,807870,807870,143199263,142638841.0,807870,143446711.0,277084552,0,0,1556082,1556082,278640634,277572951,1556082,279129033,2015
167,1,09Q,2,0,0,0,0,0,0,581221.0,653989,1235210.0,0,0,0,0,0,0,1831212,1618745,3449957,2019
168,1,0WQ,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
169,1,1BQ,1,0,0,0,0,0,0,35325.0,25496,60821.0,0,0,0,0,0,0,102795,74193,176988,2019
170,1,27Q,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
171,1,2HQ,1,66815,0,0,0,0,66815,410186.0,0,410186.0,175499,0,0,0,0,175499,1518919,0,1518919,2019
172,1,3EQ,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,2019
173,1,5V,1,287034,0,0,0,0,287034,304851.0,0,304851.0,746126,0,0,0,0,746126,792440,0,792440,2019
174,1,5X,3,41673000,12332000,16238000,2967000,31537000,73210000,41673000.0,31537000,73210000.0,75938000,22394000,29385000,5845000,57624000,133562000,75938000,57624000,133562000,2019
