,distance,fl_day,week_num,departures_performed,payload,passengers,freight,air_time,aircraft_type,distance_group,arr_delay,sdomt_gallons,tdomt_gallons,sdomt_cost,tdomt_cost,Year,mkt_unique_carrier_DL,mkt_unique_carrier_UA,mkt_unique_carrier_WN,origin_city_Charlotte,origin_city_Chicago,origin_city_Dallas/Fort Worth,origin_city_Denver,origin_city_Detroit,origin_city_Houston,origin_city_Las Vegas,origin_city_Los Angeles,origin_city_Minneapolis,origin_city_New York,origin_city_Newark,origin_city_Phoenix,origin_city_San Francisco,origin_city_Seattle,origin_city_Washington,dest_city_Charlotte,dest_city_Chicago,dest_city_Dallas/Fort Worth,dest_city_Denver,dest_city_Detroit,dest_city_Houston,dest_city_Las Vegas,dest_city_Los Angeles,dest_city_Minneapolis,dest_city_New York,dest_city_Orlando,dest_city_Phoenix,dest_city_San Francisco,dest_city_Seattle,dest_city_Washington,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_overnight,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_overnight
35501,370.0,3,4,123.0,6346800.0,16941.0,14022.0,7125.0,699.0,1.0,30.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
35505,1055.0,3,4,8.0,670400.0,1769.0,2605.0,1002.0,622.0,3.0,-7.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35508,762.0,5,4,24.0,1165430.0,3074.0,3568.5,2325.5,888.0,2.0,-18.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
35513,1855.0,6,4,6.0,260400.0,984.0,0.0,1327.0,614.0,4.0,-3.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35520,606.0,1,2,5.0,163500.0,578.0,570.0,428.0,608.0,2.0,-29.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35523,1009.0,4,1,30.0,1034500.0,3662.0,1141.0,4388.0,694.0,3.0,-6.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35528,337.0,5,3,62.5,2085700.0,5705.5,2815.0,3448.5,612.0,1.0,-15.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35531,606.0,5,4,5.0,163500.0,578.0,570.0,428.0,608.0,2.0,-7.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35533,591.0,3,4,1.0,45565.0,129.0,0.0,90.5,614.0,2.0,-8.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35536,1671.0,0,3,67.0,2604893.0,9836.0,4812.0,15928.0,694.0,4.0,4.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35537,236.0,1,4,4.0,60800.0,245.0,0.0,181.0,629.0,1.0,-40.0,6214610.8,6214610.8,12885113.2,12885113.2,2018,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
35568,936.0,1,4,10.0,520200.0,1365.0,278.0,1151.0,698.0,2.0,-7.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35571,337.0,1,5,62.5,2085700.0,5705.5,2815.0,3448.5,612.0,1.0,-13.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
35573,541.0,6,1,7.0,300200.0,989.0,317.5,654.5,622.0,2.0,-14.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35577,1107.0,3,3,3.5,69601.0,221.5,0.0,588.0,673.0,3.0,-17.0,0.0,0.0,0.0,0.0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35578,2182.0,6,4,4.0,225855.0,812.5,1875.0,1177.0,623.0,5.0,29.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
35587,534.0,0,4,24.0,747390.0,2154.0,2428.0,1759.0,608.0,2.0,-12.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
35589,1464.0,0,5,19.0,1405700.0,3363.5,73803.5,3323.5,626.0,3.0,-17.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35591,1416.0,6,2,38.0,1262785.0,3586.0,1016.0,8069.0,698.0,3.0,-27.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35597,612.0,0,2,28.0,1008073.0,2457.0,411.0,2296.0,694.0,2.0,-16.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
35614,414.0,2,2,3.5,211585.5,447.5,242.5,211.0,623.0,1.0,-9.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35623,547.0,4,3,22.0,954800.0,1326.0,15.0,1646.0,614.0,2.0,6.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
35643,954.0,6,4,79.0,3213630.0,8087.0,7882.0,9890.0,614.0,2.0,-22.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
35649,912.0,6,4,41.5,1960500.0,5742.5,1420.5,4683.0,699.0,2.0,-18.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35654,370.0,6,2,123.0,6346800.0,16941.0,14022.0,7125.0,699.0,1.0,-35.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
35667,2133.0,2,1,23.0,881000.0,2893.0,293.0,6810.0,694.0,5.0,-45.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
35668,1440.0,5,3,64.5,2581250.0,8457.0,3706.0,12881.0,614.0,3.0,-17.0,162609079.0,163140817.6,264949334.8,265791415.6,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
35671,1947.0,1,5,30.0,1582755.0,5304.0,20482.0,6411.0,622.0,4.0,-5.0,147684843.4,149458650.6,284064640.2,288453038.8,2018,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35673,547.0,0,3,88.0,1918664.0,4140.0,0.0,7019.0,673.0,2.0,-13.0,5327632.2,5327632.2,7937670.4,7937670.4,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35679,606.0,5,1,36.0,763105.0,2376.0,0.0,3432.0,673.0,2.0,-13.0,5327632.2,5327632.2,7937670.4,7937670.4,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35683,867.0,3,3,50.0,1730000.0,6028.0,38343.0,6688.0,612.0,2.0,13.0,156295770.8,156532592.0,293397830.2,293803944.4,2018,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
35684,733.0,4,2,49.0,1900070.0,5652.0,238.0,5807.0,614.0,2.0,-12.0,115001515.0,115971276.2,191543386.6,193359267.6,2018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
