Sourcekey,WGFUPUS2,WKJUPUS2
Date,Weekly U.S. Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Kerosene-Type Jet Fuel  (Thousand Barrels per Day)
30-Jan-04,8514,1534
06-Feb-04,8627,1512
13-Feb-04,8727,1677
20-Feb-04,8796,1526
27-Feb-04,8970,1599
05-Mar-04,8968,1798
12-Mar-04,9044,1476
19-Mar-04,8818,1501
26-Mar-04,8731,1604
02-Apr-04,9249,1431
09-Apr-04,9338,1528
16-Apr-04,8973,1503
23-Apr-04,9255,1593
30-Apr-04,8926,1576
07-May-04,9373,1535
14-May-04,9119,1733
21-May-04,9154,1613
28-May-04,9259,1539
04-Jun-04,9045,1567
11-Jun-04,9219,1598
18-Jun-04,9194,1753
25-Jun-04,9199,1637
02-Jul-04,9398,1736
09-Jul-04,9300,1676
16-Jul-04,8840,1623
23-Jul-04,9310,1568
30-Jul-04,9263,1646
06-Aug-04,9472,1597
13-Aug-04,9521,1753
20-Aug-04,9424,1873
27-Aug-04,9267,1800
03-Sep-04,9453,1749
10-Sep-04,9234,1629
17-Sep-04,9005,1521
24-Sep-04,8922,1562
01-Oct-04,8915,1528
08-Oct-04,8917,1587
15-Oct-04,9177,1669
22-Oct-04,8883,1505
29-Oct-04,8977,1714
05-Nov-04,9217,1610
12-Nov-04,9237,1670
19-Nov-04,8988,1674
26-Nov-04,9204,1578
03-Dec-04,9107,1659
10-Dec-04,9268,1682
17-Dec-04,9068,1677
24-Dec-04,9329,1598
31-Dec-04,9287,1794
07-Jan-05,8710,1575
14-Jan-05,8695,1517
21-Jan-05,8881,1549
28-Jan-05,8848,1545
04-Feb-05,8837,1524
11-Feb-05,8825,1685
18-Feb-05,8898,1579
25-Feb-05,8884,1813
04-Mar-05,9014,1673
11-Mar-05,9131,1849
18-Mar-05,9069,1737
25-Mar-05,9075,1712
01-Apr-05,9095,1530
08-Apr-05,9089,1535
15-Apr-05,9170,1757
22-Apr-05,9306,1537
29-Apr-05,9024,1626
06-May-05,9175,1689
13-May-05,9269,1550
20-May-05,9443,1691
27-May-05,9461,1709
03-Jun-05,9451,1577
10-Jun-05,9528,1705
17-Jun-05,9313,1691
24-Jun-05,9367,1777
01-Jul-05,9721,1774
08-Jul-05,9391,1602
15-Jul-05,9415,1865
22-Jul-05,9449,1585
29-Jul-05,9586,1634
05-Aug-05,9483,1581
12-Aug-05,9408,1670
19-Aug-05,9471,1598
26-Aug-05,9406,1578
02-Sep-05,9027,1850
09-Sep-05,8636,1551
16-Sep-05,8819,1608
23-Sep-05,8836,1598
30-Sep-05,8840,1652
07-Oct-05,8783,1327
14-Oct-05,8961,1720
21-Oct-05,8981,1512
28-Oct-05,9045,1725
04-Nov-05,9246,1595
11-Nov-05,9151,1542
18-Nov-05,9124,1480
25-Nov-05,9189,1577
02-Dec-05,9221,1615
09-Dec-05,9268,1701
16-Dec-05,9326,1694
23-Dec-05,9249,1727
30-Dec-05,9358,1692
06-Jan-06,8950,1626
13-Jan-06,8859,1574
20-Jan-06,8826,1583
27-Jan-06,8879,1560
03-Feb-06,8967,1600
10-Feb-06,9083,1571
17-Feb-06,9046,1621
24-Feb-06,8951,1636
